tour_name,description,best_time,location,tour_type
Beach Paradise,Beautiful sandy beach,December-February,Goa,Relaxation
Mountain Adventure,Thrilling trekking experience,March-May,Manali,Adventure
Heritage Tour,Explore historical monuments,October-December,Jaipur,Cultural
Wildlife Safari,See exotic animals,January-March,Ranthambore,Adventure
Island Retreat,Serene island getaway,April-June,Andaman,Relaxation
Cultural Carnival,Festivals and traditions galore,November-January,Varanasi,Cultural
Desert Expedition,Vast desert safari,September-November,Jaisalmer,Adventure
Snowy Escapade,Skiing and snowboarding fun,December-February,Shimla,Adventure
Rainforest Trek,Explore lush rainforests,July-September,Kerala,Adventure
Urban Excursion,Discover vibrant city life,Year-round,Mumbai,Urban
